UG_397 = 604, Crit0_397 = 8
UG_398 = 502, Crit0_398 = 1383
UG_399 = 700, Crit0_399 = 620
UG_400 = 2, Crit0_400 = 8165
UG_401 = 503, Crit0_401 = 3090
UG_402 = 1301, Crit0_402 = 1217
UG_403 = 2, Crit0_403 = 1287
UG_404 = 514700, Crit0_404 = 695
UG_405 = 502, Crit0_405 = 1019
UG_406 = 2, Crit0_406 = 1650
UG_407 = 503, Crit0_407 = 1373
UG_408 = 306, Crit0_408 = 902
UG_409 = 4, Crit0_409 = 2813
UG_410 = 503, Crit0_410 = 5355
UG_411 = 1309, Crit0_411 = 1093
UG_412 = 3, Crit0_412 = 1279
UG_413 = 1, Crit0_413 = 2443
UG_414 = 3604, Crit0_414 = 256
UG_415 = 602, Crit0_415 = 6
UG_416 = 3, Crit0_416 = 1074
UG_417 = 3, Crit0_417 = 2147
UG_418 = 2, Crit0_418 = 3142
UG_419 = 1, Crit0_419 = 2608
UG_420 = 3, Crit0_420 = 2306
UG_421 = 2, Crit0_421 = 684
UG_422 = 503, Crit0_422 = 516
UG_423 = 501602, Crit0_423 = 1166
UG_424 = 700, Crit0_424 = 0
UG_425 = 3700, Crit0_425 = 128
UG_426 = 802, Crit0_426 = 0
UG_427 = 503, Crit0_427 = 5900
UG_428 = 2700, Crit0_428 = 980
UG_429 = 501, Crit0_429 = 261
UG_430 = 3700, Crit0_430 = 207
UG_431 = 700, Crit0_431 = 421
UG_432 = 503, Crit0_432 = 984
UG_433 = 3, Crit0_433 = 18039
UG_434 = 3, Crit0_434 = 2810
UG_435 = 503, Crit0_435 = 2851
UG_436 = 2301, Crit0_436 = 602
UG_437 = 502, Crit0_437 = 1117
UG_438 = 3, Crit0_438 = 606
UG_439 = 3, Crit0_439 = 2131
UG_440 = 700, Crit0_440 = 162
UG_441 = 700, Crit0_441 = 1246
UG_442 = 3, Crit0_442 = 5471
UG_443 = 502, Crit0_443 = 5095
UG_444 = 3700, Crit0_444 = 2359
UG_445 = 2700, Crit0_445 = 914
UG_446 = 2700, Crit0_446 = 151
UG_447 = 3, Crit0_447 = 1222
UG_448 = 2700, Crit0_448 = 2326
UG_449 = 3, Crit0_449 = 539
UG_450 = 1, Crit0_450 = 332
UG_451 = 2700, Crit0_451 = 1314
UG_452 = 2, Crit0_452 = 11106
UG_453 = 3, Crit0_453 = 4459
UG_454 = 1, Crit0_454 = 2526
UG_455 = 3, Crit0_455 = 2340
UG_456 = 3, Crit0_456 = 5025
UG_457 = 503, Crit0_457 = 1212
UG_458 = 502, Crit0_458 = 1232
UG_459 = 700, Crit0_459 = 1833
UG_460 = 503, Crit0_460 = 1556
UG_461 = 503, Crit0_461 = 4117
UG_462 = 3600, Crit0_462 = 822
UG_463 = 503, Crit0_463 = 3916
UG_464 = 3, Crit0_464 = 1677
UG_465 = 503, Crit0_465 = 1641
UG_466 = 503, Crit0_466 = 3297
UG_467 = 503, Crit0_467 = 2522
UG_468 = 503, Crit0_468 = 1645
UG_469 = 1, Crit0_469 = 2286
UG_470 = 3, Crit0_470 = 3953
UG_471 = 2, Crit0_471 = 1779
UG_472 = 2313, Crit0_472 = 4642
UG_473 = 3602, Crit0_473 = 238
UG_474 = 502, Crit0_474 = 1705
UG_475 = 43601, Crit0_475 = 2903
UG_476 = 3, Crit0_476 = 4328
UG_477 = 2, Crit0_477 = 2990
UG_478 = 3, Crit0_478 = 771
UG_479 = 503, Crit0_479 = 1518
UG_480 = 21, Crit0_480 = 4404
UG_481 = 2, Crit0_481 = 4160
UG_482 = 503, Crit0_482 = 213
UG_483 = 502, Crit0_483 = 4484
UG_484 = 2600, Crit0_484 = 607
UG_485 = 602, Crit0_485 = 6
UG_486 = 3602, Crit0_486 = 503
UG_487 = 3310, Crit0_487 = 2061
UG_488 = 603, Crit0_488 = 19
UG_489 = 3700, Crit0_489 = 716
UG_490 = 3308, Crit0_490 = 370
UG_491 = 503, Crit0_491 = 5979
UG_492 = 503, Crit0_492 = 3611
UG_493 = 502, Crit0_493 = 2608
UG_494 = 2601, Crit0_494 = 811
UG_495 = 801, Crit0_495 = 0
UG_496 = 2603, Crit0_496 = 102
UG_497 = 3, Crit0_497 = 2152
UG_498 = 36, Crit0_498 = 8032
UG_499 = 3, Crit0_499 = 3224
UG_500 = 501, Crit0_500 = 3860
UG_501 = 19602, Crit0_501 = 2527
UG_502 = 3, Crit0_502 = 1794
UG_503 = 2602, Crit0_503 = 251
UG_504 = 3, Crit0_504 = 4922
UG_505 = 2, Crit0_505 = 5306
UG_506 = 2, Crit0_506 = 1296
UG_507 = 3, Crit0_507 = 262
UG_508 = 3, Crit0_508 = 709
UG_509 = 2, Crit0_509 = 1487
UG_510 = 501, Crit0_510 = 1715
UG_511 = 4, Crit0_511 = 470
UG_512 = 3601, Crit0_512 = 528
UG_513 = 501, Crit0_513 = 304
UG_514 = 2, Crit0_514 = 8816
UG_515 = 503, Crit0_515 = 231
UG_516 = 503, Crit0_516 = 2292
UG_517 = 503, Crit0_517 = 2393
UG_518 = 503, Crit0_518 = 2295
UG_519 = 21, Crit0_519 = 5526
UG_520 = 3, Crit0_520 = 3602
UG_521 = 3, Crit0_521 = 6555
UG_522 = 1, Crit0_522 = 1301
UG_523 = 501, Crit0_523 = 2901
UG_524 = 502, Crit0_524 = 6716
UG_525 = 500, Crit0_525 = 545
UG_526 = 502, Crit0_526 = 2285
UG_527 = 501, Crit0_527 = 3810
UG_528 = 503, Crit0_528 = 3025
UG_529 = 502, Crit0_529 = 822
UG_530 = 2601, Crit0_530 = 613
UG_531 = 1700, Crit0_531 = 870
UG_532 = 1, Crit0_532 = 5920
UG_533 = 15, Crit0_533 = 5141
UG_534 = 503, Crit0_534 = 11336
UG_535 = 19309, Crit0_535 = 3419
UG_536 = 3, Crit0_536 = 11921
UG_537 = 2, Crit0_537 = 3573
UG_538 = 3, Crit0_538 = 7023
UG_539 = 3, Crit0_539 = 1753
UG_540 = 3, Crit0_540 = 2971
UG_541 = 21, Crit0_541 = 1727
UG_542 = 3, Crit0_542 = 1430
UG_543 = 25, Crit0_543 = 917
UG_544 = 5, Crit0_544 = 3553
UG_545 = 1, Crit0_545 = 279
UG_546 = 3700, Crit0_546 = 1052
UG_547 = 1700, Crit0_547 = 853
UG_548 = 3, Crit0_548 = 1746
UG_549 = 1, Crit0_549 = 10578
UG_550 = 2, Crit0_550 = 3757
UG_551 = 503, Crit0_551 = 9475
UG_552 = 503, Crit0_552 = 175
UG_553 = 2, Crit0_553 = 12566
UG_554 = 700, Crit0_554 = 0
UG_555 = 502, Crit0_555 = 899
UG_556 = 3, Crit0_556 = 5232
UG_557 = 2, Crit0_557 = 563
UG_558 = 3, Crit0_558 = 1461
UG_559 = 3, Crit0_559 = 4056
UG_560 = 3, Crit0_560 = 3260
UG_561 = 3, Crit0_561 = 828
UG_562 = 3700, Crit0_562 = 2705
UG_563 = 2, Crit0_563 = 7362
UG_564 = 3, Crit0_564 = 18675
UG_565 = 700, Crit0_565 = 0
UG_566 = 501600, Crit0_566 = 2481
UG_567 = 500, Crit0_567 = 345
UG_568 = 2, Crit0_568 = 4566
UG_569 = 3313, Crit0_569 = 3170
UG_570 = 503, Crit0_570 = 9713
UG_571 = 501, Crit0_571 = 7015
UG_572 = 502, Crit0_572 = 6816
UG_573 = 501, Crit0_573 = 9039
UG_574 = 3, Crit0_574 = 4030
UG_575 = 2, Crit0_575 = 4679
UG_576 = 502, Crit0_576 = 433
UG_577 = 502, Crit0_577 = 2447
UG_578 = 3308, Crit0_578 = 9267
UG_579 = 501, Crit0_579 = 3694
UG_580 = 3, Crit0_580 = 1638
UG_581 = 2, Crit0_581 = 1434
UG_582 = 503, Crit0_582 = 592
UG_583 = 503, Crit0_583 = 8652
UG_584 = 501, Crit0_584 = 9847
UG_585 = 3, Crit0_585 = 344
UG_586 = 503, Crit0_586 = 8891
UG_587 = 3311, Crit0_587 = 121
UG_588 = 502, Crit0_588 = 2350
UG_589 = 1307, Crit0_589 = 483
UG_590 = 3700, Crit0_590 = 2263
UG_591 = 2, Crit0_591 = 9678
UG_592 = 2, Crit0_592 = 24607
UG_593 = 48700, Crit0_593 = 3961
UG_594 = 500, Crit0_594 = 4046
UG_595 = 3700, Crit0_595 = 1273
UG_596 = 3, Crit0_596 = 951
UG_597 = 800, Crit0_597 = 0
UG_598 = 500, Crit0_598 = 71
UG_599 = 3700, Crit0_599 = 84
UG_600 = 3, Crit0_600 = 25139
UG_601 = 3, Crit0_601 = 43
UG_602 = 20700, Crit0_602 = 467
UG_603 = 502, Crit0_603 = 6976
UG_604 = 1, Crit0_604 = 4839
UG_605 = 13, Crit0_605 = 1292
UG_606 = 604, Crit0_606 = 1
UG_607 = 1600, Crit0_607 = 2089
UG_608 = 501, Crit0_608 = 29
UG_609 = 20600, Crit0_609 = 3173
UG_610 = 502, Crit0_610 = 140
UG_611 = 15, Crit0_611 = 8695
UG_612 = 700, Crit0_612 = 13
UG_613 = 1, Crit0_613 = 2968
UG_614 = 4, Crit0_614 = 2479
UG_615 = 503, Crit0_615 = 8130
UG_616 = 503, Crit0_616 = 4592
UG_617 = 3, Crit0_617 = 5140
UG_618 = 36, Crit0_618 = 24370
UG_619 = 1, Crit0_619 = 3075
UG_620 = 3, Crit0_620 = 18288
UG_621 = 3603, Crit0_621 = 1013
UG_622 = 2, Crit0_622 = 3398
UG_623 = 1, Crit0_623 = 10531
UG_624 = 502, Crit0_624 = 11456
UG_625 = 2700, Crit0_625 = 4373
UG_626 = 3700, Crit0_626 = 1953
UG_627 = 2315, Crit0_627 = 13164
UG_628 = 3, Crit0_628 = 5757
UG_629 = 1311, Crit0_629 = 541
UG_630 = 1316, Crit0_630 = 10520
UG_631 = 1, Crit0_631 = 10196
UG_632 = 2, Crit0_632 = 1066
UG_633 = 503, Crit0_633 = 2404
UG_634 = 1603, Crit0_634 = 2340
UG_635 = 2700, Crit0_635 = 4569
UG_636 = 1, Crit0_636 = 3690
UG_637 = 2, Crit0_637 = 705
UG_638 = 1, Crit0_638 = 11189
UG_639 = 2, Crit0_639 = 10461
UG_640 = 502, Crit0_640 = 2779
UG_641 = 1700, Crit0_641 = 2040
UG_642 = 2313, Crit0_642 = 15427
UG_643 = 36700, Crit0_643 = 269
UG_644 = 503, Crit0_644 = 348
UG_645 = 600, Crit0_645 = 563
UG_646 = 503, Crit0_646 = 3478
UG_647 = 700, Crit0_647 = 85
UG_648 = 503, Crit0_648 = 10930
UG_649 = 503, Crit0_649 = 4324
UG_650 = 700, Crit0_650 = 509
UG_651 = 503, Crit0_651 = 2171
UG_652 = 3, Crit0_652 = 4046
UG_653 = 30, Crit0_653 = 3218
UG_654 = 1, Crit0_654 = 3894
UG_655 = 2700, Crit0_655 = 3763
UG_656 = 700, Crit0_656 = 155
UG_657 = 2700, Crit0_657 = 2614
UG_658 = 501, Crit0_658 = 220
UG_659 = 3, Crit0_659 = 2077
UG_660 = 3311, Crit0_660 = 4942
UG_661 = 2, Crit0_661 = 429
UG_662 = 3, Crit0_662 = 1140
UG_663 = 35600, Crit0_663 = 821
UG_664 = 3, Crit0_664 = 1853
UG_665 = 2, Crit0_665 = 5762
