ID_UG	ID_Vertice	XX_v	YY_v	Concelho
5	309	-22672.9647	164089.9659	Paredes
5	310	-22669.4891	164088.3453	Paredes
5	311	-22665.785	164087.3527	Paredes
5	312	-22661.9643	164087.0185	Paredes
5	313	-22624.3545	164087.0199	Paredes
5	314	-22651.6091	163941.6892	Paredes
5	315	-22742.9868	163932.1381	Paredes
5	316	-22797.2426	163922.3768	Paredes
5	317	-22874.261	163891.405	Paredes
5	318	-22905.0753	163842.1773	Paredes
5	319	-22935.505	163796.8189	Paredes
5	320	-22996.2783	163773.3635	Paredes
5	321	-22993.7094	163836.1742	Paredes
5	322	-23003.8123	163893.3388	Paredes
5	323	-22995.1054	163943.9806	Paredes
5	324	-22930.0047	164038.5714	Paredes
5	325	-22876.8079	164090.3192	Paredes
5	326	-22874.6528	164138.747	Paredes
5	327	-22878.7702	164193.5178	Paredes
5	328	-22880.577	164228.2317	Paredes
5	329	-22880.5788	164228.2666	Paredes
5	330	-22880.5253	164228.3839	Paredes
5	331	-22874.9907	164228.3344	Paredes
5	332	-22833.4622	164227.9627	Paredes
5	333	-22819.263	164227.8356	Paredes
5	334	-22819.115	164227.6971	Paredes
5	335	-22815.6174	164224.4251	Paredes
5	336	-22814.3757	164223.2634	Paredes
5	337	-22813.143	164222.1102	Paredes
5	338	-22811.1414	164220.2378	Paredes
5	339	-22796.5596	164206.2775	Paredes
5	340	-22789.9677	164199.6857	Paredes
5	341	-22789.6879	164199.4059	Paredes
5	342	-22784.5278	164194.2459	Paredes
5	343	-22782.6516	164192.3698	Paredes
5	344	-22780.9206	164190.6388	Paredes
5	345	-22780.8836	164188.4551	Paredes
5	346	-22780.8478	164186.344	Paredes
5	347	-22780.6721	164175.9746	Paredes
5	348	-22780.605	164172.0133	Paredes
5	349	-22780.5867	164170.9322	Paredes
5	350	-22780.2788	164170.2719	Paredes
5	351	-22779.8293	164169.3079	Paredes
5	352	-22775.7739	164160.6112	Paredes
5	353	-22771.5611	164156.3265	Paredes
5	354	-22764.5934	164149.3935	Paredes
5	355	-22756.0374	164141.0008	Paredes
5	356	-22744.9002	164130.0761	Paredes
5	357	-22742.7751	164127.9916	Paredes
5	358	-22740.7867	164128.7568	Paredes
5	359	-22723.3048	164135.4849	Paredes
5	360	-22720.6366	164136.5119	Paredes
5	361	-22720.4416	164136.3259	Paredes
5	362	-22719.9174	164135.8024	Paredes
5	363	-22711.297	164127.1934	Paredes
5	364	-22702.2172	164118.1256	Paredes
5	365	-22699.7971	164115.7088	Paredes
5	366	-22699.6885	164115.6003	Paredes
5	367	-22691.5403	164107.4628	Paredes
6	368	-16889.7527	162224.5771	Penafiel
6	369	-16896.9176	162217.1529	Penafiel
6	370	-16905.1028	162208.6717	Penafiel
6	371	-16913.8304	162199.6283	Penafiel
6	372	-16927.1428	162187.3552	Penafiel
6	373	-16955.9127	162161.118	Penafiel
6	374	-16965.4483	162159.4159	Penafiel
6	375	-17002.9026	162152.7305	Penafiel
6	376	-17047.3459	162118.1381	Penafiel
6	377	-17111.135	162142.8423	Penafiel
6	378	-17170.6746	162093.0106	Penafiel
6	379	-17224.5766	162045.6098	Penafiel
6	380	-17343.3299	162023.7852	Penafiel
6	381	-17345.5551	162023.5054	Penafiel
6	382	-17423.6169	162013.6883	Penafiel
6	383	-17473.7425	162061.7631	Penafiel
6	384	-17509.8332	162109.639	Penafiel
6	385	-17454.4639	162127.1073	Penafiel
6	386	-17421.2462	162164.4361	Penafiel
6	387	-17465.4351	162180.4166	Penafiel
6	388	-17481.9124	162227.3143	Penafiel
6	389	-17390.146	162231.818	Penafiel
6	390	-17325.9209	162225.1563	Penafiel
6	391	-17275.8273	162226.7373	Penafiel
6	392	-17233.2445	162227.1644	Penafiel
6	393	-17188.2219	162253.0712	Penafiel
6	394	-17118.2742	162266.4031	Penafiel
6	395	-17036.9575	162224.0266	Penafiel
6	396	-16961.8828	162254.339	Penafiel
6	397	-16897.2211	162268.6802	Penafiel
6	398	-16866.8237	162248.3355	Penafiel
6	399	-16869.2391	162245.8327	Penafiel
6	400	-16875.4771	162239.369	Penafiel
6	401	-16882.8801	162231.6983	Penafiel
6	402	-16889.7527	162224.5771	Penafiel
7	403	-21103.442	160355.6679	Paredes
7	404	-21131.8564	160348.4643	Paredes
7	405	-21195.1079	160319.7575	Paredes
7	406	-21235.7385	160270.6204	Paredes
7	407	-21286.7286	160257.4554	Paredes
7	408	-21305.094	160215.1851	Paredes
7	409	-21294.3027	160156.3983	Paredes
7	410	-21262.1609	160099.9751	Paredes
7	411	-21204.8945999999	160081.5603	Paredes
7	412	-21211.5635	159973.3007	Paredes
7	413	-21226.7637	159917.017	Paredes
7	414	-21238.0435	159875.9521	Paredes
7	415	-21224.9415	159795.0233	Paredes
7	416	-21272.9284	159766.4897	Paredes
7	417	-21320.0107	159744.0228	Paredes
7	418	-21284.1389	159703.787	Paredes
7	419	-21348.6217	159699.0522	Paredes
7	420	-21395.5557	159674.0366	Paredes
7	421	-21421.8624	159616.1159	Paredes
7	422	-21480.2869	159596.6611	Paredes
7	423	-21495.8674	159652.386	Paredes
7	424	-21483.4466	159722.7837	Paredes
7	425	-21449.6059	159770.5402	Paredes
7	426	-21431.4524	159814.7739	Paredes
7	427	-21462.2516	159854.0152	Paredes
7	428	-21522.5487	159852.1317	Paredes
7	429	-21503.7157	159905.1056	Paredes
7	430	-21555.2632	159939.2836	Paredes
7	431	-21605.1963	159973.4004	Paredes
7	432	-21657.4925	159980.9454	Paredes
7	433	-21755.0958	159978.4212	Paredes
7	434	-21778.3296	160021.1524	Paredes
7	435	-21726.2797	160058.7125	Paredes
7	436	-21681.2993	160115.4127	Paredes
7	437	-21647.2279	160146.2953	Paredes
7	438	-21603.4199	160173.6461	Paredes
7	439	-21529.7201	160178.5132	Paredes
7	440	-21471.5011	160230.5454	Paredes
7	441	-21416.7862	160292.705	Paredes
7	442	-21364.6782	160297.7119	Paredes
7	443	-21331.9695	160337.9811	Paredes
7	444	-21334.2458	160370.9123	Paredes
7	445	-21338.1654	160427.6168	Paredes
7	446	-21283.9257	160440.846	Paredes
7	447	-21261.6961	160469.1248	Paredes
7	448	-21229.6327	160456.6921	Paredes
7	449	-21205.8201	160418.3274	Paredes
7	450	-21182.669	160411.0514	Paredes
7	451	-21155.5492	160397.8222	Paredes
7	452	-21146.9502	160378.6398	Paredes
7	453	-21116.5231	160360.119	Paredes
7	454	-21106.6012	160357.4731	Paredes
7	455	-21103.442	160355.6679	Paredes
8	456	-18274.9384	161951.7051	Penafiel
8	457	-18252.4293	161973.4582	Penafiel
8	458	-18210.7629	162013.7254	Penafiel
8	459	-18206.5267	162009.5876	Penafiel
8	460	-18202.2392	162005.3996	Penafiel
8	461	-18197.6418	162000.909	Penafiel
8	462	-18192.8152	161996.1945	Penafiel
8	463	-18189.0718	161992.5381	Penafiel
8	464	-18184.2527	161987.8309	Penafiel
8	465	-18179.5395	161983.2271	Penafiel
8	466	-18175.5719	161979.3517	Penafiel
8	467	-18167.2811	161971.2534	Penafiel
8	468	-18148.0337	161985.0657	Penafiel
8	469	-18147.784	161985.394	Penafiel
8	470	-18146.395	161986.4014	Penafiel
8	471	-18144.928	161987.4653	Penafiel
8	472	-18143.2581	161988.6764	Penafiel
8	473	-18141.2787	161990.112	Penafiel
8	474	-18138.926	161991.8183	Penafiel
8	475	-18136.0089	161993.934	Penafiel
8	476	-18134.8775	161994.7546	Penafiel
8	477	-18134.4477	161995.0663	Penafiel
8	478	-18133.5171	161995.7413	Penafiel
8	479	-18131.7172	161997.0467	Penafiel
8	480	-18129.8652	161998.3899	Penafiel
8	481	-18128.5849	161999.3185	Penafiel
8	482	-18126.4663	162000.855	Penafiel
8	483	-18124.801	162002.0628	Penafiel
8	484	-18124.1351	162002.5458	Penafiel
8	485	-18122.8027	162003.5121	Penafiel
8	486	-18121.1965	162004.677	Penafiel
8	487	-18119.0045	162006.2668	Penafiel
8	488	-18118.4087	162006.6989	Penafiel
8	489	-18085.6002	162042.8041	Penafiel
8	490	-18060.4587	162043.4726	Penafiel
8	491	-18042.7371	162043.9438	Penafiel
8	492	-18030.5327	162044.2683	Penafiel
8	493	-18019.6924	162044.5565	Penafiel
8	494	-18003.2717	162044.9931	Penafiel
8	495	-17989.2657	162045.3655	Penafiel
8	496	-17977.6322	162045.6748	Penafiel
8	497	-17965.9987	162045.9841	Penafiel
8	498	-17954.3372	162046.2942	Penafiel
8	499	-17943.2325	162046.5895	Penafiel
8	500	-17935.0362	162046.8074	Penafiel
8	501	-17927.626	162047.0044	Penafiel
8	502	-17923.4023	162047.1167	Penafiel
8	503	-17923.7339	162018.0599	Penafiel
8	504	-17923.8729	162005.8816	Penafiel
8	505	-17925.4486	161982.4043	Penafiel
8	506	-17901.0519	161918.3986	Penafiel
8	507	-17936.1881	161892.4149	Penafiel
8	508	-17962.6465	161924.1649	Penafiel
8	509	-18011.2106	161893.5072	Penafiel
8	510	-18014.2641	161891.5796	Penafiel
8	511	-18066.2891999999	161873.4014	Penafiel
8	512	-18111.3656	161846.0042	Penafiel
8	513	-18153.3584	161860.6573	Penafiel
8	514	-18198.5206	161853.0258	Penafiel
8	515	-18261.7335	161828.9753	Penafiel
8	516	-18287.472	161868.2135	Penafiel
8	517	-18364.0415	161874.0625	Penafiel
8	518	-18362.7266	161875.386	Penafiel
8	519	-18329.5738	161918.7203	Penafiel
8	520	-18328.8205	161919.7049	Penafiel
8	521	-18296.4975	161938.9013	Penafiel
8	522	-18275.7159	161951.2434	Penafiel
8	523	-18274.9384	161951.7051	Penafiel
9	524	-18207.9947	165514.1265	Penafiel
9	525	-18228.0478	165527.1818	Penafiel
9	526	-18247.9544	165540.1506	Penafiel
9	527	-18258.518	165547.0569	Penafiel
9	528	-18322.3105	165604.8665	Penafiel
9	529	-18279.5109	165629.0284	Penafiel
9	530	-18279.6653	165629.2511	Penafiel
9	531	-18281.2528	165631.672	Penafiel
9	532	-18290.9762	165645.9992	Penafiel
9	533	-18295.0707	165652.085	Penafiel
9	534	-18311.9526	165677.0755	Penafiel
9	535	-18315.9615	165683.0155	Penafiel
9	536	-18320.2468	165699.9384	Penafiel
9	537	-18324.2817	165715.887	Penafiel
9	538	-18326.0756	165722.9689	Penafiel
9	539	-18331.215	165743.3095	Penafiel
9	540	-18322.0656	165746.7163	Penafiel
9	541	-18309.2671	165751.4677	Penafiel
9	542	-18282.769	165761.3288	Penafiel
9	543	-18273.9294	165764.6114	Penafiel
9	544	-18282.8453	165794.1889	Penafiel
9	545	-18286.7999	165807.2936	Penafiel
9	546	-18287.291	165808.9305	Penafiel
9	547	-18288.6107	165809.2276	Penafiel
9	548	-18325.3879	165817.4921	Penafiel
9	549	-18328.9454	165818.2912	Penafiel
9	550	-18333.759	165819.3709	Penafiel
9	551	-18334.6019	165819.5604	Penafiel
9	552	-18336.0598	165819.8874	Penafiel
9	553	-18336.8405	165820.0633	Penafiel
9	554	-18337.5881	165820.231	Penafiel
9	555	-18339.0225	165820.5537	Penafiel
9	556	-18340.066	165820.7859	Penafiel
9	557	-18340.3094	165820.8468	Penafiel
9	558	-18340.3493	165820.8513	Penafiel
9	559	-18356.162	165879.4602	Penafiel
9	560	-18383.3786	165903.974	Penafiel
9	561	-18396.6773	165915.9478	Penafiel
9	562	-18401.0232	165919.8648	Penafiel
9	563	-18397.206	165921.6255	Penafiel
9	564	-18387.7286	165925.9841	Penafiel
9	565	-18371.5096	165933.5234	Penafiel
9	566	-18340.1361	165947.9509	Penafiel
9	567	-18346.1889	165989.4749	Penafiel
9	568	-18348.6353	166006.4691	Penafiel
9	569	-18349.5703	166012.8834	Penafiel
9	570	-18350.3085	166017.9817	Penafiel
9	571	-18350.6264	166020.176	Penafiel
9	572	-18350.8447	166021.6881	Penafiel
9	573	-18351.0034	166022.8057	Penafiel
9	574	-18351.4988	166026.1929	Penafiel
9	575	-18351.1548	166026.1664	Penafiel
9	576	-18341.543	166074.1976	Penafiel
9	577	-18286.7298	166135.8626	Penafiel
9	578	-18245.4437	166165.8276	Penafiel
9	579	-18194.0994	166154.3433	Penafiel
9	580	-18148.7501	166116.1977	Penafiel
9	581	-18139.2841	166107.9389	Penafiel
9	582	-18146.0958	166099.0312	Penafiel
9	583	-18148.0802	166069.2656	Penafiel
9	584	-18178.5073	166097.0469	Penafiel
